Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
13678,6160,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13679,6162,Schwimmerbecken,nein,,,50,,nein,nein,,,,ja,,,,,,,,,,,
13680,6162,Kleinkinderbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
13681,6165,Schwimmerbecken,nein,,312.5,25,12.5,ja,nein,,,,nein,,,,,,,,,,,5
13683,6165,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,3
13684,6165,Kleinkinderbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13693,6173,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13699,6176,Schwimmerbecken,nein,1,312.5,25,12.5,nein,nein,1.8,4,,ja,"Einstiegshilfe für Behinderte; 1-/3-/5-Meter-Turm",ja,nein,ja,ja,nein,,ja,ja,Tauchen,5
13700,6176,Nichtschwimmerbecken,nein,,,,,nein,,,1.3,,,,,,,,,,,,,
13701,6176,Wellenbecken,ja,,,,,,,,,,nein,,,,,,,,,,,0
13702,6176,Nichtschwimmerbecken,ja,,,,,,,,,,nein,,,,,,,,,,,0
13703,6176,Kleinkinderbecken,ja,,,,,,,,0.3,,,,,,,,,,,,,
13704,6176,Nichtschwimmerbecken,ja,,,,,ja,,,1.35,,nein,,,,,,,,,,,
13705,6176,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,0
13706,6176,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,0
13707,6176,Kaltwasser-Tretbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,0
13708,6177,Schwimmerbecken,,,,25,,,,,,,,,,,,,,,,,,5
13709,6178,Springerbecken,,,,,,,,,,,nein,,,,,,,,,,,
13710,6178,Schwimmerbecken,,,,25,,,,,,,,,,,,,,,,,,6
19809,6178,Schwimmerbecken,,,,50,,,,,,,,,,,,,,,,,,6
19810,6178,Kursbecken,,,,16,,,,,,,,,,,,,,,,,,
13711,6179,Wellenbecken,,,,,,,,,,,nein,,,,,,,,,,,
13712,6179,Wellenbecken,,,,,,,,,,,nein,,,,,,,,,,,
13713,6179,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
13714,6180,Kleinkinderbecken,,,85,,,,,,,,,,,,,,,,,,,
13715,6180,Nichtschwimmerbecken,,,330,25,13,,,,,,nein,,,,,,,,,,,4
13716,6180,Kursbecken,,,150,,,,ja,,,,,,,,,,,,,,,
13717,6180,Schwimmerbecken,,,,25,,,,,,,ja,,,,,,,,,,,6
13718,6181,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13719,6181,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13720,6181,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13721,6182,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13722,6182,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13723,6182,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13724,6182,Schwimmerbecken,,,,,,,,,,,nein,,,,,,,,,,,
19668,6183,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
13725,6184,Schwimmerbecken,ja,,,25,,nein,nein,,,,nein,,,,,,,,,,,
13726,6184,Kursbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13727,6184,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13729,6185,Kursbecken,nein,,,25,,,,,,,nein,,,,,,,,,,,
13730,6186,Schwimmerbecken,nein,,1000,50,20,nein,nein,,,,nein,,,,,,,,,,,8
13731,6186,Wellenbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13732,6186,Springerbecken,nein,,,,,nein,nein,,,,ja,,,,,,,,,,,
13733,6186,Kleinkinderbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13740,6193,Schwimmerbecken,,,1050,50,,,ja,,,,,,,,,,,,,,,
13741,6193,Nichtschwimmerbecken,,,97,,,,ja,,,,,,,,,,,,,,,
13742,6193,Kleinkinderbecken,,,50,,,,,,,,,,,,,,,,,,,
13743,6193,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
13744,6193,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
13745,6193,Wellenbecken,,,474,,,,,,,,,,,,,,,,,,,
13746,6193,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
13747,6193,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
13748,6193,Schwimmerbecken,,,637,,,,,,,,,,,,,,,,,,,
13749,6193,Nichtschwimmerbecken,,,185,,,,,,,,,,,,,,,,,,,
13750,6193,Kleinkinderbecken,,,86,,,,,,,,,,,,,,,,,,,
13751,6194,Schwimmerbecken,,,443,,,,,,,,ja,,,,,,,,,,,
13752,6194,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13753,6194,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
13754,6194,Kursbecken,,,,,,,,,,,,,,,,,,,,,,
13755,6195,Schwimmerbecken,,,312.5,,,,,,,,,,,,,,,,,,,
13756,6195,Schwimmerbecken,,,1890,25,,,,,,,ja,,,,,,,,,,,
13757,6195,Nichtschwimmerbecken,,,,33,,,,,,,,,,,,,,,,,,
13758,6195,Wellenbecken,,,200,,,,,,,,,,,,,,,,,,,
13759,6195,Kleinkinderbecken,,,186,,,,,,,,,,,,,,,,,,,
13760,6196,Schwimmerbecken,,,,25,,,,,,,ja,,,,,,,,,,,
13761,6196,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13762,6196,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13763,6197,Kursbecken,,,,,,,,,,,,,,,,,,,,,,
13764,6198,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13765,6198,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13766,6198,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
